"";"scenario";"ID";"station";"deficit30";"duration30";"count30";"intensity30"
"81";"rcp8p5";17;6008;2,54276268169556;60;7;0,0422152077757979
"82";"historical";18;6008;1,24732831433017;35;5;0,0348415730259823
"83";"rcp8p5";18;6008;2,29237699513198;59;8;0,0384627012606037
"84";"historical";19;6008;1,01533795170084;29;5;0,0347718476609876
"85";"rcp8p5";19;6008;1,72433039448577;46;6;0,0373771039267148
"86";"historical";20;6008;0,889294310040381;28;5;0,0311668566602937
"87";"rcp8p5";20;6008;2,08261088430435;54;6;0,0385668682278582
"88";"historical";1;7002;0,761904278972117;4;0;0,174481895947813
"89";"rcp8p5";1;7002;1,68919500031822;6;0;0,252118656763914
"90";"historical";2;7002;0,370106963248524;1;0;0,205614979582513
"91";"rcp8p5";2;7002;5,34783157105875;14;0;0,365455460436816
"92";"historical";3;7002;0,542613185103419;2;0;0,232548507901465
"93";"rcp8p5";3;7002;1,67752093912785;7;0;0,211452219217797
"94";"historical";4;7002;0,9795605483298;3;0;0,27723411745183
"95";"rcp8p5";4;7002;1,45122180901418;6;0;0,219882092274876
"96";"historical";5;7002;0,415600885337828;2;0;0,175606007889223
"97";"rcp8p5";5;7002;5,75465679211383;15;0;0,370471467303466
"98";"historical";16;7002;24,0368356278587;41;7;0,574128239518918
"99";"rcp8p5";16;7002;18,4096476543372;35;7;0,52053669145157
"100";"historical";17;7002;31,9760776119571;45;7;0,701229772192041
"101";"rcp8p5";17;7002;52,1178868260913;70;8;0,737169544923498
"102";"historical";18;7002;27,1397775740745;50;8;0,539200878955123
"103";"rcp8p5";18;7002;43,3075822712634;68;10;0,635008537701809
"104";"historical";19;7002;24,7346274546895;43;7;0,570799095108218
"105";"rcp8p5";19;7002;28,4597578075253;48;7;0,583191758350928
"106";"historical";20;7002;20,8116854394777;41;7;0,504321941182819
"107";"rcp8p5";20;7002;34,4466589308909;59;8;0,582853789016766
"108";"historical";6;7004;9,21276989701051e-05;0;0;0,00276383096910315
"109";"rcp8p5";6;7004;0,0436141246444376;1;0;0,0256553674379045
"110";"historical";7;7004;0,00171497937349571;0;0;0,0102898762409743
