"";"station";"variable";"p5";"p25";"p50";"p75";"p95"
"73";12008;"deficit30";15,324259961672;57,1906835838304;99,2671901601338;423,295178310212;2610,14246928894
"74";12008;"duration30";3,45;5,75;14;21,75;27,1
"75";12008;"count30";0;0;1;2,75;4,1
"76";12008;"intensity30";-24,9600490929148;-5,9145521441987;2,7845707311971;10,5916219552522;168,545880937275
"77";13001;"deficit30";31,3007691440914;73,7062320372985;94,8854700633482;201,0208283428;354,029170044328
"78";13001;"duration30";2,45;4,75;14;24,5;39
"79";13001;"count30";0;0;1;1;2
"80";13001;"intensity30";-6,26241568020346;18,1064195469659;24,4163722704675;33,5739628330595;100,858745386353
"81";13005;"deficit30";-59,0803368325162;71,1289234405648;149,011437063143;257,972241121733;Inf
"82";13005;"duration30";0;1;5;28;39,6
"83";13005;"count30";0;0;0;1;1
"84";13005;"intensity30";-64,6337196909604;16,6223425624902;28,0633087956622;54,6083980797585;Inf
"85";13007;"deficit30";-10,6726124292819;4,78174803907475;79,2410881895989;3850,44397321362;Inf
"86";13007;"duration30";-2,55;0;3,5;10,25;17,75
"87";13007;"count30";-0,55;0;0;0;1,55
"88";13007;"intensity30";-0,72922056508575;8,39399888235665;20,2348259307324;240,434279901133;Inf
"89";13008;"deficit30";2,29676621071101;21,2656164317654;69,967965745451;84,7821739791408;107,301120685356
"90";13008;"duration30";2,4;8;19;23;25,4
"91";13008;"count30";1;1;2;3;3,8
"92";13008;"intensity30";-8,19357064262463;-5,73096240030601;4,28580913414107;6,18382884531308;12,9153293554404
"93";13009;"deficit30";-23,5999502926992;31,2836361042246;65,2271627036724;364,536319550836;6435,12976764473
"94";13009;"duration30";0,35;5,25;10,5;16,75;20,55
"95";13009;"count30";0;0;1;2,75;4,55
"96";13009;"intensity30";-36,6220357012685;-14,137388705496;-8,84663417375003;24,3293587348299;285,913310415448
"97";15006;"deficit30";-22,0544474397958;19,862464605497;76,5901999811166;1255,81627684128;Inf
"98";15006;"duration30";-0,3;0,5;3;10;21,4
"99";15006;"count30";-0,3;0;0;0;1
"100";15006;"intensity30";-8,27207504920823;4,64939573616397;22,9949829804139;44,1843063714901;Inf
"101";15023;"deficit30";1,49951210188225;33,8787276009235;83,2050781332724;96,5926165652649;Inf
"102";15023;"duration30";1,75;5;15,5;23;26
"103";15023;"count30";0,5;2;2;2,75;3
"104";15023;"intensity30";-13,7016824113232;-5,8473040877634;1,77416229924605;12,2771453792393;Inf
"105";15024;"deficit30";48,1592614622302;71,9896702111166;124,498131456793;287,857537259825;Inf
"106";15024;"duration30";3,4;7;12;23;28,3
"107";15024;"count30";0;0;1;2;3
"108";15024;"intensity30";-28,0716817984889;2,18512820768942;13,7035429158035;28,7475175177193;Inf
"109";15025;"deficit30";53,9114441100175;67,88690809382;87,7303778018832;Inf;Inf
"110";15025;"duration30";0;6,75;13;16,75;31,1
"111";15025;"count30";0;0;2,5;4;4
"112";15025;"intensity30";-1,68140034374274;2,31066164715569;6,61722210628492;Inf;Inf
"113";16001;"deficit30";-12,6210259242931;22,0331026839529;53,8266765287364;Inf;Inf
"114";16001;"duration30";-3,3;-0,5;2;12,25;19,9
"115";16001;"count30";0;0;0;0;0
"116";16001;"intensity30";-6,4178208037324;5,13035549527401;10,9991392469792;Inf;Inf
"117";16003;"deficit30";-8,85738372424249;26,4037353329239;57,7236548583652;Inf;Inf
"118";16003;"duration30";-1,95;0;2,5;14,75;20,9
"119";16003;"count30";0;0;0;0;0
"120";16003;"intensity30";-4,88081585693617;3,886537180206;11,8573745749315;Inf;Inf
"121";16007;"deficit30";-23,7131036020514;107,630171730518;159,085452348052;Inf;Inf
"122";16007;"duration30";0;1;28;42;46,2
"123";16007;"count30";0;0;4;4;5
"124";16007;"intensity30";-63,3010374132946;4,30535781739717;9,33300555298634;Inf;Inf
"125";17003;"deficit30";-68,2453367905001;-20,2997366454636;31,7647687780426;1776,39238831327;Inf
"126";17003;"duration30";-9,4;0;1;7;16,4
"127";17003;"count30";-1,6;0;0;0;0
"128";17003;"intensity30";-64,0331758179644;-5,3655947721843;7,38332860574434;350,334173195184;Inf
"129";17005;"deficit30";-22,3340120106556;0,268692489698772;70,5438947602009;Inf;Inf
"130";17005;"duration30";-8,55;-1;0,5;4,75;16,65
"131";17005;"count30";-1,65;-0,25;0;0;0
"132";17005;"intensity30";-8,16137811660041;7,09769950630833;22,2200486007394;Inf;Inf
"133";18001;"deficit30";-64,3520989963549;-9,94243556961067;45,3346326168014;537,384843612251;Inf
"134";18001;"duration30";-3,2;0;1;13;20
"135";18001;"count30";-1;-1;0;0;0
"136";18001;"intensity30";-63,0124645000396;-3,37450544360989;10,5866938886857;87,4661304741914;Inf
"137";18011;"deficit30";26,3065069265902;45,955953481045;108,350645182034;368,749194565679;Inf
"138";18011;"duration30";0,45;2,75;8;19;29,3
"139";18011;"count30";0;0;0,5;2;3
"140";18011;"intensity30";-2,77297028681105;3,38325664468474;18,8470411190104;66,2904885069374;Inf
"141";19006;"deficit30";-15,9866290240776;1,66478873322076;42,9785082338156;Inf;Inf
"142";19006;"duration30";-6,5;0;1;7,75;16,65
"143";19006;"count30";-1;-0,25;0;0;0
"144";19006;"intensity30";-6,41773067223344;-4,33054641264664;13,1546064571571;Inf;Inf
"145";19011;"deficit30";-23,0851777447393;12,7710512495022;59,5785742242431;100,31835144146;447,637288503605
"146";19011;"duration30";-5,3;2,5;12;16,75;32,1
"147";19011;"count30";-0,55;0;0,5;1;2
"148";19011;"intensity30";-6,23093248032629;2,17035413902542;7,45066842114271;25,2818109686616;108,271141716138
"149";20001;"deficit30";-24,9387147622665;-3,39182313045193;46,5855761772648;Inf;Inf
"150";20001;"duration30";-8,1;-2,5;1;9,5;16,7
"151";20001;"count30";-1;-0,5;0;0;0,699999999999999
"152";20001;"intensity30";-5,64737934440025;1,61476604185448;10,7084766644133;Inf;Inf
"153";20003;"deficit30";-21,1247109866719;-15,635459349881;13,2392593435124;41,8071242258686;43,3264982769036
"154";20003;"duration30";-11,2;-8;4;17;17
"155";20003;"count30";-0,8;0;0;0;0,8
"156";20003;"intensity30";-0,845316907904724;-0,362173920529967;5,76233274149132;6,34418442763802;10,6689804192274
"157";21003;"deficit30";-21,5321643633493;-11,0683738658957;11,1730952218125;42,3362249364256;47,1948908407962
"158";21003;"duration30";-11;-3;5;16;18,4
"159";21003;"count30";-0,8;0;0;0;0
"160";21003;"intensity30";-5,31943146432847;-2,13804775949823;3,45434146029809;8,31302676285911;12,7222981941783
"161";21006;"deficit30";-22,1912700874448;-12,2972125784656;9,64946479855631;44,4834956479417;46,9684496112653
"162";21006;"duration30";-10,4;-4;4;17;18,6
"163";21006;"count30";-1,6;0;0;0;0,8
"164";21006;"intensity30";-4,75183479373148;-1,79285796426095;2,62220628107977;6,8750672665081;11,1275242889926
"165";21009;"deficit30";-23,0495124032078;-3,73919465299752;24,568168795857;52,0328137280143;Inf
"166";21009;"duration30";-8,25;-2;1,5;12,5;19
"167";21009;"count30";-1;-0,75;0;0,75;1
"168";21009;"intensity30";-7,60550382093558;-0,0310756149527944;5,84420885908785;13,2117686838859;Inf
"169";21012;"deficit30";-22,4585270819422;-3,64099898867538;26,1795344319006;48,7314479153699;Inf
"170";21012;"duration30";-8,75;-1,5;1;11;17,75
"171";21012;"count30";-1;-0,75;0,5;1;1
"172";21012;"intensity30";-1,67445765552577;-0,395175055874065;5,53172189844326;9,38407720532952;Inf
"173";21013;"deficit30";-28,2025412809022;-20,1993313341951;6,59439558106052;42,029700442222;43,775601244168
"174";21013;"duration30";-9,4;-7;0;13;14,6
"175";21013;"count30";-1,8;-1;0;1;1,8
"176";21013;"intensity30";-4,2173659370922;-1,98202946727971;5,00934880662095;6,85778063521113;9,41232696017111
"177";21017;"deficit30";-87,9427811077709;-28,8379605840861;9,16653730009064;274,290946593506;790,321277681265
"178";21017;"duration30";-6,3;-3;2;12;14,8
"179";21017;"count30";-1;0;0;0;1
"180";21017;"intensity30";-43,6532826568118;-11,8097498744591;4,53466436446493;23,5941251207588;59,380283364545
"181";21021;"deficit30";-18,0682579806082;2,00431483852057;34,9863759514416;64,9135059240489;Inf
"182";21021;"duration30";-6,25;-0,75;2;14,5;21
"183";21021;"count30";-0,75;0;0,5;1;1,75
"184";21021;"intensity30";-3,69528828403074;0,317240422556153;7,21877618616943;11,6625815770402;Inf
"185";21022;"deficit30";-23,8049758775013;-8,83725218278643;30,9500797426247;54,9485718542557;Inf
"186";21022;"duration30";-10;-5;2,5;12,25;17,25
"187";21022;"count30";-1,75;-0,75;0,5;1;1
"188";21022;"intensity30";-0,342637283147994;3,17026251714368;7,07548386977551;10,4402047125118;Inf
"189";22001;"deficit30";-24,5685048122434;-12,1932734324193;5,66079067674087;43,3264763572384;50,9245651047183
"190";22001;"duration30";-8,8;-4;0;15;17,4
"191";22001;"count30";-1;-1;0;2;2
"192";22001;"intensity30";-3,27377095873021;-0,967981683722955;4,75830034901574;7,99724541436417;10,5509050192588
"193";22009;"deficit30";-24,4542754884131;-10,8164515888009;4,31307887631926;42,8030236599445;46,430549047072
"194";22009;"duration30";-9,8;-5;0;13;17
"195";22009;"count30";-1,8;-1;0;1;1,8
"196";22009;"intensity30";-1,56671358712228;1,65192799490076;4,52552913879649;8,2261804311709;8,6757654624857
"197";23001;"deficit30";-20,9520592697777;1,68473611000059;24,3043707612781;48,4838692422906;Inf
"198";23001;"duration30";-8,25;0,25;1,5;12,5;18,25
"199";23001;"count30";-1;-0,75;0;0,75;1
